Wind Speed (knots),0-2,2-4,4-6,6-8
0-12,-2.2,-1.7,-0.6,0.0
13-25,-1.1,0.0,0.6,1.1
26-38,-0.6,0.0,0.6,1.1
39-51,1.1,1.7,2.8,
